text_id	word_id	word	internal_layer_surprisal_layer_1	internal_layer_surprisal_layer_2	internal_layer_surprisal_layer_3	internal_layer_surprisal_layer_4	internal_layer_surprisal_layer_5	internal_layer_surprisal_layer_6	internal_layer_surprisal_layer_7	internal_layer_surprisal_layer_8	internal_layer_surprisal_layer_9	internal_layer_surprisal_layer_10	internal_layer_surprisal_layer_11	internal_layer_surprisal_layer_12
0	0	If	5.240458693355322	6.425721331383102	7.024948689620942	7.048464919382241	7.064368817518698	7.076217237648962	7.086882775940467	7.091888256982202	7.100131430546753	7.111871481045455	7.126878803355794	5.351401794236153
0	1	you	0.7847501672804356	1.625040368293412	2.3164300569333136	2.7178065656335093	2.6051809028431308	2.2802698474624776	2.0462118044379167	2.649918838724261	2.4824169479543343	1.217920665292695	1.0577971621023607	0.9112188336439431
0	2	were	8.803751312196255	8.200307473540306	7.460144458338618	6.597358413040638	5.5169887393713	6.603861503303051	6.838745646178722	5.821896532550454	5.182498576119542	4.9711446850560606	3.585837022284977	3.4019871038617566
0	3	to	7.014179486781359	8.833711082232185	9.693394434987567	10.010565396398306	10.605676107108593	10.315451733767986	10.260755026713014	10.392394415684976	11.001192095041915	6.963489106892666	2.929797098309791	1.4513227280694991
0	4	journey	14.605835597962141	16.057708015548997	17.594095636741258	16.686756666749716	14.83906265348196	11.463980749249458	12.437608009204268	13.662165636545978	13.796216136492149	14.110585680893564	12.385327952411899	10.143291510292329
0	5	to	5.843387165106833	4.335422237403691	3.0673272707499564	4.3065041655208915	4.187592679867521	3.912544286577031	4.346711695659906	3.508025798248127	3.3548748099710792	3.9836740009923233	2.815303839102853	1.4749958263710141
0	6	the	3.4135501121054403	4.69336976010527	3.8979941514298844	2.69604816541505	1.2517191225842907	1.0047397849230038	1.1007609149746713	1.068608585781476	1.273088604601071	2.282290277089487	1.542304056813009	1.8509270813083276
0	7	North	11.368091191456188	12.594835009498638	12.668457149902679	11.753880887781634	12.530464470321931	11.10152143234518	9.545448540586221	7.467045747405791	6.644826571300655	5.921275696422526	5.29166956798872	4.591331176110543
0	8	of	9.345469905529171	9.941432386403903	9.53593503421871	9.122323893767316	7.142504457384348	6.4406517466995865	8.90513031554292	10.726294797306764	11.459783036302724	11.036103644449213	7.298860818016692	4.823643240088131
0	9	England,	16.744254583027214	15.221041328972206	12.866379105311353	7.939693034102675	7.335323296370916	4.149710077675991	3.388162451708922	2.710666244456661	1.8979518067380923	1.4593743771865775	2.4014743610605365	3.180826113501098
1	0	A	6.267803519964218	5.647276937961578	6.4069594740867615	6.789050579071045	6.491382598876953	6.382206916809082	5.916104882955551	6.0798370242118835	6.119059503078461	5.923447519540787	5.709688067436218	4.007292665541172
1	1	clear	7.0830744742415845	7.263667890103534	7.459901230409741	8.98125699069351	8.710063457489014	9.30052525550127	9.209847543388605	9.720640417188406	9.45611483976245	9.757084566168487	8.870596390217543	8.238006114959717
1	2	and	13.94632092723623	15.014410800067708	12.78079773299396	11.435122565366328	10.19331082701683	8.490625998005271	7.85216428199783	7.890044955769554	7.966176141449978	6.307768118602326	3.3848781828783103	2.7642203876457643
1	3	joyous	23.693758189678192	21.776037022471428	21.05856481194496	16.564976826310158	15.095504492521286	16.455479415133595	15.940251482184976	17.723602179205045	21.04122243781967	18.53043439695648	14.945257593957649	11.340537192794727
1	4	day	12.524559378623962	16.1778621673584	18.32692050933838	17.81533646583557	13.83205246925354	14.144165515899658	15.427878588438034	15.85371253080666	13.555865779519081	9.631085666886065	4.887893472623546	3.8812447083182633
1	5	it	6.66870579123497	7.680382788181305	8.699017643928528	7.5413137674331665	8.283775344491005	9.181741259992123	9.299869537353516	9.988238126039505	10.406461449339986	10.943370327353477	9.98402410862036	7.743336103856564
1	6	was	2.2280465960502625	1.6735778637230396	1.6260941475629807	1.9166858196258545	2.6922740787267685	2.789095662534237	2.1983447019010782	1.5463626831769943	1.6328144706785679	1.35533307492733	0.5993651438038796	1.2283386662602425
1	7	and	11.59299710020423	14.31285603903234	14.73056648299098	14.60478237643838	14.112190261716023	15.718242245384317	15.626189425995108	15.640457575558685	15.045674944445636	10.755744964986661	9.472495920548681	5.312800178304315
1	8	out	13.541691605001688	16.236946364864707	17.05960962548852	19.285422887653112	19.147984727984294	21.727808592251677	21.76440601568902	17.524624446989037	18.023943751901243	17.956752656788012	13.67155992280459	8.821273690089583
1	9	on	4.758188361302018	4.642439033836126	5.452081713825464	4.553975349292159	4.783535357564688	5.7264399449341	7.542817776906304	9.867396677844226	9.583231031894684	7.150358228012919	7.068296451237984	4.466464485041797
2	0	It	6.864962190389633	7.962790250778198	8.528677940368652	9.700969696044922	8.911712527275085	8.617160081863403	8.81178879737854	7.653351306915283	7.228264689445496	7.026446461677551	7.352197110652924	5.196582704782486
2	1	was	3.543836485594511	2.9431903921067715	2.6863178554922342	3.186802421696484	3.2488687983714044	2.5757901470642537	1.8673765834100777	1.344944959091663	1.587151112202264	1.6554365199554013	1.4404573114588857	1.6339895012788475
2	2	cold	12.151089744642377	14.118299558293074	13.98819069378078	12.411154239438474	12.622850857209414	12.193584520602599	11.138859295970178	11.967775563192845	11.989558503330045	10.37120391013741	9.23140116315335	8.22132993908599
2	3	and	12.89661897905171	12.95441047521308	10.431037036702037	10.303769195452332	8.29427891317755	7.706417920533568	8.55269297092309	6.539531186375825	7.161940944846833	3.8665202707057915	1.4732928425073766	1.2737372806295753
2	4	nearly	8.870581019669771	9.21062296256423	10.083763201255351	9.803505878895521	8.758200853131711	8.39819924114272	10.161464220764174	11.306387552052911	12.199492275717262	14.736007869243053	11.464399218566527	7.475865037646145
2	5	dark	8.355511005967855	10.017687987536192	9.841567134018987	9.867896130308509	9.356775919906795	7.088246840052307	3.6135533953784034	1.9724960241874214	5.03410331904638	7.692305853590369	6.427365280680533	2.9108552928082645
2	6	on	17.273009326308966	14.147492405027151	12.552327439188957	10.904987633228302	8.578770505264401	6.848430695012212	6.8460110779851675	5.086640317924321	4.712084558559582	5.2098752355541365	4.2374083037357195	3.264626987220254
2	7	the	1.0030814742203802	1.6065847331192344	1.6574341212653962	1.085482060922459	0.7873057257384133	2.699885902956339	4.155229413922825	4.368362645620891	2.4783624291917477	6.2502266166461595	2.372693656864726	1.0150330262258649
2	8	last	4.770417040679604	4.868675747362431	4.6602998210037185	4.056461638219389	3.6038153174831606	4.254038393473593	4.602760136095185	7.852942228322263	10.220832228657429	10.256672799580429	8.048245370387917	5.766305786150042
2	9	evening	6.013277906924486	7.61836314649554	8.175642537215026	8.376565010825288	9.773715730427284	10.719882085913241	8.506440237155857	7.516191907219763	6.159591600298853	5.6463904194533825	5.29923789575605	4.386261037085205
3	0	Once	9.45416721701622	9.38018798828125	9.186634503304958	9.181163281202316	9.144932109862566	9.14220429211855	9.149024656042457	9.127388732274994	9.12556594673515	9.134593904018459	9.147424201481044	7.576251978054643
3	1	upon	5.322290484793484	4.143318886402994	2.8632322491612285	2.892808329081163	3.3852214254438877	3.2598465904593468	2.934790337458253	2.1156261896248907	2.509328192252724	4.081704918789853	2.8747833115776302	2.338688469870249
3	2	a	3.647601048462093	4.897295228089206	8.671807417063974	6.349663371773204	4.698368571815081	4.5099456628086045	6.400685831912597	8.26789254940013	8.753466420954737	1.5132265644792255	0.002862066370653338	0.0017138956900453195
3	3	time	8.17940679192543	9.060709803015925	9.113683019648306	9.169209936313564	8.251383945229463	8.101413739728741	8.933631926766793	3.647904761015525	0.6430044472194822	2.5972140146182596	2.891542825376746	1.1919670203787973
3	4	the	5.143799857818522	7.433319740230218	9.730480870552128	8.102379986201413	5.180957906588446	4.006653419986833	4.517513433500426	7.750614705029875	8.19327649771003	6.889228765605367	3.5400560501147993	2.188926949049346
3	5	birds	16.486965207732283	18.77749728388153	18.545893231086666	16.545278406585567	15.450966156378854	15.009577803954016	13.164915075496538	12.697104921098799	12.081851658236701	10.82179156994971	9.158467703207862	8.524206479196437
3	6	took	13.374308064579964	12.06155751645565	9.980448931455612	8.780286338180304	8.49796450510621	7.473398983478546	8.031590950675309	8.367391728330404	7.992776577928453	7.847900286329605	7.38357914146286	5.819436152698472
3	7	it	4.346792951226234	5.025047019124031	5.574226289987564	5.475573752075434	5.596856947988272	6.097883403301239	7.160329627804458	7.1151943686418235	10.836457128069014	12.251682132236965	9.9952287171011	5.217629243386909
3	8	into	12.531878985464573	12.037817254662514	9.449449055828154	7.6974481754004955	5.28645726852119	4.779881917871535	3.254650437273085	5.0234961258247495	7.038038021841203	10.070411890996184	6.190451223301352	5.335244762856746
3	9	their	5.593419069038646	5.090572998418793	4.860117799602449	3.392555374653284	3.3115250188859022	3.1865672832355756	2.4511555200442743	3.643175675533719	3.791580610952252	5.489405810814901	0.00898168246204989	0.058927660837071016
4	0	At	7.722398906946182	7.4162750616669655	7.678443744778633	7.8056358098983765	8.27585369348526	8.729269981384277	7.975671142339706	8.48166275024414	8.069051295518875	7.951519638299942	7.778865024447441	6.076189048588276
4	1	ten	11.226045697927475	14.130210869014263	15.048404768109322	13.927538827061653	14.258222572505474	13.974417962133884	15.94057485088706	15.972177807241678	17.578725839033723	16.57545453682542	10.488679538480937	8.924721993505955
4	2	years	1.683272329159081	1.2904402932545054	1.342054635670138	0.8697184175284747	1.023482926271754	0.5182900652292233	0.3377722837043393	0.26934435613475216	0.14351334561069962	0.10644806467462331	0.18935831368435174	1.0074527785182
4	3	old,	14.157091087661684	17.413575698396016	15.232203636865961	15.83244984084422	12.687980771215734	12.712591796531058	10.640957528694912	7.769812120075585	2.650163339727442	0.11586002317926614	0.01209396673948504	0.35277562390547246
4	4	I	5.314761575311422	7.706519314087927	7.383809830062091	6.951229942496866	6.105868160491809	5.357521623955108	5.261340981378453	6.389063166279811	5.0093559121887665	5.298507034087379	3.1126959267712664	2.8726683204295114
4	5	could	5.275791607797146	5.0220629051327705	5.3628169521689415	5.935210406780243	5.941312398761511	5.598640460520983	4.917809607461095	6.1243377001956105	7.937325639650226	6.8414146865252405	6.228444641456008	5.008578673005104
4	6	not	3.8525042543187737	4.893329187296331	5.2816579304635525	5.9457437777891755	5.6193571370095015	6.129585857735947	7.44853702178807	8.736679647423443	8.282292084803885	5.535370174799027	2.8194039780355524	2.018363610841334
4	7	figure	9.365672222338617	10.413451017579064	9.542141754180193	8.022853489033878	7.7802242948673666	8.6953434352763	9.189232704418828	9.475756465952145	12.44444221262711	8.56718701103091	6.205725498526675	5.8322618839738425
4	8	out	9.643333598971367	6.5997264452744275	1.3434692546725273	0.2712710528867319	0.2237163764948491	0.30230794872159095	0.436000824814073	1.2925153962764853	1.0728928445964812	1.9384624957783814	3.671583684194957e-05	0.042125976557144895
4	9	what	5.254555379971862	4.34700769209303	4.003094956380664	5.854193780818605	4.926138571787305	4.901142061425617	4.649111807342706	5.250589191959534	6.373468458937623	6.94796604082147	3.825047806427733	1.6061422096099705
