	text_id	word_id	ref_token	skipped	time	centered_time	word_len	word	surprisal	surprisal_buggy	freq	prev_word	prev2_word	prev3_word	prev_surprisal	prev2_surprisal	prev3_surprisal	prev_surprisal_buggy	prev2_surprisal_buggy	prev3_surprisal_buggy	prev_freq	prev2_freq	prev3_freq	prev_word_len	prev2_word_len	prev3_word_len
1393	10	88	daha	0.2857142857142857	144.42857142857142	-97.90288068756047	4.0	daha	0.490627531944483	0.49354717	1	etmekten	ayırt	şövalyeyi	3.920682118041441	3.0887794382870197	3.5660894429311156	3.9356878	3.1005485	3.5813065	1.0	1.0	1.0	8.0	5.0	9.0
1394	10	89	kolaydı.	0.07142857142857142	274.85714285714283	32.52569074101096	8.0	kolaydı.	2.2418640179676004	2.0576456	1	daha	etmekten	ayırt	0.490627531944483	3.920682118041441	3.0887794382870197	0.49354717	3.9356878	3.1005485	1.0	1.0	1.0	4.0	8.0	5.0
1395	10	90	On	0.5	108.42857142857143	-133.90288068756047	2.0	On	7.869257926940918	5.7264013	1	kolaydı.	daha	etmekten	2.2418640179676004	0.490627531944483	3.920682118041441	2.0576456	0.49354717	3.9356878	1.0	1.0	1.0	8.0	4.0	8.0
1396	10	91	yedinci	0.0	416.2142857142857	173.88283359815384	7.0	yedinci	4.416531237773597	6.743096	1	On	kolaydı.	daha	7.869257926940918	2.2418640179676004	0.490627531944483	5.7264013	2.0576456	0.49354717	1.0	1.0	1.0	2.0	8.0	4.0
1397	10	92	yüzyılın	0.0	332.14285714285717	89.81140502672524	8.0	yüzyılın	1.9545366505044512	1.9548843	1	yedinci	On	kolaydı.	4.416531237773597	7.869257926940918	2.2418640179676004	6.743096	5.7264013	2.0576456	1.0	1.0	1.0	7.0	2.0	8.0
1398	10	93	ortalarındaki	0.0	412.2857142857143	169.95426216958236	13.0	ortalarındaki	6.654878307599574	6.652241	1	yüzyılın	yedinci	On	1.9545366505044512	4.416531237773597	7.869257926940918	1.9548843	6.743096	5.7264013	1.0	1.0	1.0	8.0	7.0	2.0
1399	10	94	Yelken	0.0	205.64285714285714	-36.68859497327475	6.0	Yelken	12.584412917494774	10.439426	1	ortalarındaki	yüzyılın	yedinci	6.654878307599574	1.9545366505044512	4.416531237773597	6.652241	1.9548843	6.743096	1.0	1.0	1.0	13.0	8.0	7.0
1400	10	95	Çağı'nın	0.14285714285714285	405.92857142857144	163.59711931243956	8.0	Çağı'nın	9.013779569650069	11.157406	1	Yelken	ortalarındaki	yüzyılın	12.584412917494774	6.654878307599574	1.9545366505044512	10.439426	6.652241	1.9548843	1.0	1.0	1.0	6.0	13.0	8.0
1401	10	96	zirve	0.14285714285714285	171.78571428571428	-70.54573783041761	5.0	zirve	7.753452003002167	7.613721	1	Çağı'nın	Yelken	ortalarındaki	9.013779569650069	12.584412917494774	6.654878307599574	11.157406	10.439426	6.652241	1.0	1.0	1.0	8.0	6.0	13.0
1402	10	97	dönemlerinde	0.07142857142857142	291.35714285714283	49.02569074101097	12.0	dönemlerinde	2.696635454893112	2.6217303	1	zirve	Çağı'nın	Yelken	7.753452003002167	9.013779569650069	12.584412917494774	7.613721	11.157406	10.439426	1.0	1.0	1.0	5.0	8.0	6.0
