text_id	word_id	word	context_limited_surprisal_context_1	context_limited_surprisal_context_2	context_limited_surprisal_context_4
0	0	If	5.3494157791137695	5.3494157791137695	5.3494157791137695
0	1	you	3.4436607360839844	3.4436607360839844	3.4436607360839844
0	2	were	5.30383825302124	4.035750865936279	4.035750865936279
0	3	to	3.6347079277038574	3.6129512786865234	1.6135766506195068
0	4	journey	10.333471298217773	10.27223014831543	9.83078384399414
0	5	to	2.5197176933288574	1.316240906715393	1.7377640008926392
0	6	the	2.6109445095062256	1.6577787399291992	1.503510594367981
0	7	North	8.16537094116211	6.819002151489258	5.1067585945129395
0	8	of	3.453280448913574	4.2113938331604	5.259391784667969
0	9	England,	10.236957550048828	4.1119842529296875	3.688722610473633
0	10	you	5.623769760131836	5.721451759338379	5.765063285827637
0	11	would	5.16970682144165	3.5105526447296143	3.268519878387451
0	12	come	5.482709884643555	6.290217399597168	6.240213394165039
0	13	to	2.3187437057495117	1.9921916723251343	1.2551696300506592
0	14	a	3.542987108230591	3.028047800064087	2.75290584564209
0	15	valley	11.3141450881958	11.102560997009277	10.319109916687012
0	16	that	4.104863166809082	2.969350576400757	2.88179874420166
0	17	is	3.969313144683838	2.537041664123535	2.021372079849243
0	18	surrounded	9.861480712890625	8.920589447021484	4.596494197845459
0	19	by	3.781886100769043	0.1276090443134308	0.06856030970811844
0	20	moors	14.874749183654785	11.430221557617188	11.93652629852295
0	21	as	4.074461936950684	4.2596893310546875	4.835042953491211
0	22	high	7.166967391967773	6.770068168640137	5.885263442993164
0	23	as	4.965346813201904	0.4788290858268738	0.08395808190107346
0	24	mountains.	13.746623992919922	12.628296852111816	9.482667922973633
0	25	It	3.3362696170806885	3.238877296447754	3.167004346847534
0	26	is	2.6830790042877197	1.2377848625183105	1.2858084440231323
0	27	in	3.9126827716827393	4.863020420074463	4.777873516082764
0	28	this	4.710409164428711	4.421200752258301	1.6801927089691162
0	29	valley	11.76727294921875	9.676752090454102	9.256604194641113
0	30	where	5.950230598449707	4.2953081130981445	3.3355488777160645
0	31	you	4.1396870613098145	4.2226152420043945	4.080317497253418
0	32	would	5.16970682144165	3.8812708854675293	3.670680046081543
0	33	find	5.966479778289795	4.599637031555176	2.4012441635131836
0	34	the	2.4388673305511475	2.5830605030059814	2.495495557785034
0	35	city	7.235651969909668	7.70133638381958	7.781221866607666
0	36	of	2.86104154586792	1.5507217645645142	2.4777395725250244
0	37	Bradford,	13.415122985839844	9.159589767456055	9.76554012298584
0	38	where	5.128657341003418	3.565829277038574	2.9021124839782715
0	39	once	7.972911834716797	8.863030433654785	8.834663391113281
0	40	a	3.4601516723632812	2.350703239440918	2.0683884620666504
0	41	thousand	9.096298217773438	6.8238396644592285	7.109253883361816
0	42	spinning	11.191831588745117	11.52621841430664	11.723809242248535
0	43	jennies	16.95651626586914	16.049503326416016	15.699832916259766
0	44	that	3.799082040786743	2.868685722351074	3.1441705226898193
0	45	hummed	14.8633451461792	12.79011058807373	11.723614692687988
0	46	and	1.966640830039978	1.5879898071289062	1.1780184507369995
0	47	clattered	15.499597549438477	10.485011100769043	8.232891082763672
0	48	spun	14.082690238952637	14.087339401245117	14.219139099121094
0	49	wool	11.732112884521484	8.168983459472656	9.254858016967773
1	0	A	4.005307197570801	4.005307197570801	4.005307197570801
1	1	clear	8.414990425109863	8.414990425109863	8.414990425109863
1	2	and	3.43652606010437	2.670844793319702	2.670844793319702
1	3	joyous	13.01206111907959	11.02407169342041	10.62916374206543
1	4	day	5.017341613769531	5.627861976623535	5.420473575592041
1	5	it	5.120888710021973	6.306674957275391	6.289380073547363
1	6	was	3.8755478858947754	1.5793201923370361	1.7603340148925781
1	7	and	4.467559337615967	6.860445022583008	3.556662082672119
1	8	out	6.93565559387207	9.378796577453613	8.457030296325684
1	9	on	4.006975173950195	4.300093650817871	4.970052719116211
1	10	the	2.1509435176849365	1.7282036542892456	0.9357357025146484
1	11	wide	8.876241683959961	9.282471656799316	6.953094482421875
1	12	open	7.328293800354004	2.9112181663513184	1.7470272779464722
1	13	sea,	11.926994323730469	7.59886360168457	6.025544166564941
1	14	thousands	8.478999137878418	7.950911521911621	8.2713041305542
1	15	upon	7.786210536956787	5.075076103210449	4.552499771118164
1	16	thousands	8.63687801361084	0.9856084585189819	0.02086140215396881
1	17	of	1.9921648502349854	0.0700087621808052	0.14245830476284027
1	18	sparkling	12.460190773010254	12.511030197143555	13.01636028289795
1	19	water	6.966534614562988	2.718930721282959	3.1657650470733643
1	20	drops,	11.453882217407227	10.041644096374512	9.097871780395508
1	21	excited	12.045114517211914	11.435226440429688	10.373748779296875
1	22	by	4.407610893249512	1.9239025115966797	1.8313829898834229
1	23	getting	7.15755558013916	7.679786682128906	8.30732536315918
1	24	to	3.2062535285949707	3.3102688789367676	2.159996509552002
1	25	play	6.613490104675293	4.518007278442383	2.970179557800293
1	26	in	3.3400774002075195	2.9451847076416016	2.7064297199249268
1	27	the	2.2516112327575684	1.4980103969573975	1.298330307006836
1	28	ocean,	11.55059814453125	9.26456356048584	11.457751274108887
1	29	danced	13.635614395141602	12.794228553771973	12.000638961791992
1	30	all	5.43894100189209	5.464436054229736	5.3936309814453125
1	31	around.	9.746776580810547	5.491156101226807	5.193018436431885
1	32	One	5.274310111999512	5.2159223556518555	4.752860069274902
1	33	of	2.6898043155670166	1.2558635473251343	1.2453222274780273
1	34	these	6.0751237869262695	3.4468276500701904	3.3230905532836914
1	35	was	5.808366775512695	6.420351982116699	3.6416091918945312
1	36	a	3.061173439025879	2.0976126194000244	2.1395554542541504
1	37	merry	11.997093200683594	11.155974388122559	11.426668167114258
1	38	little	7.085050582885742	4.309207916259766	3.826630115509033
