comparison	predictor_family	predictor_context	ngram_context	context_limited_context	layer	fold	n_train	n_test	ll_m0_mean	ll_predictor_mean	ll_layer_mean	ll_joint_mean	delta_predictor_given_layer_mean	delta_layer_given_predictor_mean	delta_n_given_l_mean	delta_l_given_n_mean	delta_c_given_l_mean	delta_l_given_c_mean	ll_m0_sum	ll_predictor_sum	ll_layer_sum	ll_joint_sum	delta_predictor_given_layer_sum	delta_layer_given_predictor_sum	delta_n_given_l_sum	delta_l_given_n_sum	delta_c_given_l_sum	delta_l_given_c_sum
ngram_vs_internal_layer	ngram	0	0	NA	1	1	55	14	-5.29240978175123	-5.61599384922578	-5.60342713157841	-6.03303148648912	-0.429604354910711	-0.417037637263346	-0.429604354910711	-0.417037637263346	NA	NA	-74.0937369445172	-78.6239138891609	-78.4479798420977	-84.4624408108477	-6.01446096874996	-5.83852692168684	-6.01446096874996	-5.83852692168684	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	1	2	55	14	-4.29064189756782	-4.2792032309219	-4.36043733180941	-4.54582440849059	-0.185387076681179	-0.266621177568691	-0.185387076681179	-0.266621177568691	NA	NA	-60.0689865659494	-59.9088452329066	-61.0461226453317	-63.6415417188683	-2.59541907353651	-3.73269648596168	-2.59541907353651	-3.73269648596168	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	1	3	56	13	-4.48576350731261	-4.52501786311053	-4.56455050494371	-4.48703739069637	0.0775131142473473	0.0379804724141657	0.0775131142473473	0.0379804724141657	NA	NA	-58.3149255950639	-58.8252322204369	-59.3391565642683	-58.3314860790528	1.00767048521552	0.493746141384158	1.00767048521552	0.493746141384158	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	1	4	55	14	-4.50098795230378	-4.75574477766699	-4.60356852565097	-4.98599215693451	-0.382423631283543	-0.230247379267525	-0.382423631283543	-0.230247379267525	NA	NA	-63.0138313322529	-66.5804268873378	-64.4499593591135	-69.8038901970831	-5.3539308379696	-3.22346330974536	-5.3539308379696	-3.22346330974536	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	1	5	55	14	-4.47332100027648	-5.07954121699731	-4.64675341768391	-5.36720156740283	-0.720448149718922	-0.287660350405525	-0.720448149718922	-0.287660350405525	NA	NA	-62.6264940038707	-71.1135770379623	-65.0545478475747	-75.1408219436396	-10.0862740960649	-4.02724490567735	-10.0862740960649	-4.02724490567735	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	1	55	14	-5.29240978175123	-5.61599384922578	-5.83286786815419	-6.23821578230535	-0.40534791415116	-0.622221933079577	-0.40534791415116	-0.622221933079577	NA	NA	-74.0937369445172	-78.6239138891609	-81.6601501541587	-87.3350209522749	-5.67487079811625	-8.71110706311407	-5.67487079811625	-8.71110706311407	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	2	55	14	-4.29064189756782	-4.2792032309219	-4.40351145758547	-4.59303652901415	-0.189525071428675	-0.313833298092248	-0.189525071428675	-0.313833298092248	NA	NA	-60.0689865659494	-59.9088452329066	-61.6491604061966	-64.3025114061981	-2.65335100000144	-4.39366617329148	-2.65335100000144	-4.39366617329148	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	3	56	13	-4.48576350731261	-4.52501786311053	-4.49375916742836	-4.4685066731792	0.0252524942491545	0.0565111899313324	0.0252524942491545	0.0565111899313324	NA	NA	-58.3149255950639	-58.8252322204369	-58.4188691765686	-58.0905867513296	0.328282425239017	0.734645469107321	0.328282425239017	0.734645469107321	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	4	55	14	-4.50098795230378	-4.75574477766699	-4.63037179329965	-5.03891810994955	-0.408546316649899	-0.283173332282569	-0.408546316649899	-0.283173332282569	NA	NA	-63.0138313322529	-66.5804268873378	-64.8252051061952	-70.5448535392938	-5.71964843309858	-3.96442665195596	-5.71964843309858	-3.96442665195596	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	5	55	14	-4.47332100027648	-5.07954121699731	-4.59854371265617	-5.54774827721026	-0.949204564554088	-0.468207060212954	-0.949204564554088	-0.468207060212954	NA	NA	-62.6264940038707	-71.1135770379623	-64.3796119771864	-77.6684758809436	-13.2888639037572	-6.55489884298136	-13.2888639037572	-6.55489884298136	NA	NA
