context_limited_context	ngram_context_0	ngram_context_1	ngram_context_2	ngram_context_3	ngram_context_4
1	0.000803393333442426	0.0015046762928736	0.00255112541167413	0.00281879505001021	0.00300376630077836
2	0.00105648456945594	0.00119405147688847	0.00246695737151097	0.0023643208656829	0.00243654010249872
3	0.0011860015357248	0.00122153110572457	0.0020361901477394	0.00211577895119106	0.0022057430899701
4	0.00146904274937221	0.00136007418619382	0.00220335542011599	0.00250206187911669	0.00267551675288328
