context_limited_context	ngram_context_0	ngram_context_1	ngram_context_2	ngram_context_3	ngram_context_4
1	0.000825537878047915	0.000448651461367981	0.000479256526128601	0.000130036000411822	0.000156083644043906
2	0.00177683000966799	0.000567608424042009	0.000220498532482672	0.000304484008515058	0.000314163817501224
3	0.00215175177485215	0.00084039866193554	0.000187781301684508	0.000468877530841765	0.000439154070868983
4	0.00218589614029236	0.00104923041011124	0.000215618474704982	0.00047399580240219	0.000504066807910275
