ngram_context	context_limited_context	fold	n_train	n_test	ll_m0_mean	ll_m0_a_mean	ll_m0_b_mean	ll_joint_mean	delta_a_given_b_mean	delta_b_given_a_mean	ll_m0_sum	ll_m0_a_sum	ll_m0_b_sum	ll_joint_sum	delta_a_given_b_sum	delta_b_given_a_sum
0	1	1	9020	1003	-4.67496332935886	-4.62546361943543	-4.6265153430107	-4.6205734459128	0.00594189709790616	0.00489017352263055	-4688.98821934694	-4639.34001029373	-4640.39488903974	-4634.43516625054	5.95972278919999	4.90484404319795
0	1	2	9021	1002	-4.65441373779026	-4.61942293354224	-4.61914250973328	-4.61416478206771	0.00497772766557247	0.00525815147453379	-4663.72256526584	-4628.66177940932	-4628.38079475275	-4623.39311163184	4.98768312090397	5.26866777748273
0	1	3	9021	1002	-4.62908296241621	-4.60802854178231	-4.61014240770245	-4.6070711018935	0.00307130580895087	0.000957439888811251	-4638.34112834104	-4617.24459886588	-4619.36269251786	-4616.28524409729	3.07744842056854	0.959354768588128
0	1	4	9021	1002	-4.66287414101818	-4.62919148673811	-4.62664247546726	-4.62490727662174	0.00173519884551698	0.00428421011636981	-4672.19988930021	-4638.44986971158	-4635.89576041819	-4634.15709117498	1.73866924320828	4.29277853660187
0	1	5	9020	1003	-4.68724920810348	-4.64075109552004	-4.64158258043656	-4.63623747677962	0.00534510365694274	0.00451361874041911	-4701.31095572779	-4654.6733488066	-4655.50732817787	-4650.14618920996	5.36113896791358	4.52715959664056
0	1	6	9021	1002	-4.63890251008141	-4.59278536640134	-4.59859373076758	-4.59039102042149	0.0082027103460911	0.00239434597984722	-4648.18031510157	-4601.97093713414	-4607.79091822912	-4599.57180246233	8.21911576678303	2.39913467180668
0	1	7	9021	1002	-4.6344814523759	-4.59226453006602	-4.60176327827601	-4.59121378447088	0.0105494938051311	0.00105074559514939	-4643.75041528065	-4601.44905912616	-4610.96680483256	-4600.39621203982	10.5705927927411	1.05284708633917
0	1	8	9021	1002	-4.68009117999612	-4.62919769987183	-4.63170375493644	-4.62479272419839	0.00691103073804822	0.004404975673439	-4689.45136235612	-4638.45609527158	-4640.96716244632	-4634.04230964679	6.92485279952325	4.41378562478531
0	1	9	9021	1002	-4.61422589847553	-4.58549892159421	-4.5967088698255	-4.58847463498664	0.00823423483886021	-0.00297571339242886	-4623.45435027248	-4594.6699194374	-4605.90228756515	-4597.65158425661	8.2507033085376	-2.98166481921362
0	1	10	9020	1003	-4.59685640884669	-4.55402395209877	-4.55887331199309	-4.55134139590752	0.00753191608557202	0.00268255619125313	-4610.64697807323	-4567.68602395507	-4572.54993192907	-4564.99542009524	7.55451183382957	2.69060385982721
0	2	1	9020	1003	-4.67496332935886	-4.62546361943543	-4.64016390696607	-4.62159993552202	0.0185639714440535	0.00386368391340941	-4688.98821934694	-4639.34001029373	-4654.08439868697	-4635.46473532858	18.619663358385	3.87527496514849
0	2	2	9021	1002	-4.65441373779026	-4.61942293354224	-4.61931942562368	-4.6096670567515	0.00965236887217991	0.00975587679074152	-4663.72256526584	-4628.66177940932	-4628.55806447493	-4618.886390865	9.67167360992516	9.7753885443235
0	2	3	9021	1002	-4.62908296241621	-4.60802854178231	-4.60825887345082	-4.60384486830147	0.00441400514935175	0.00418367348084647	-4638.34112834104	-4617.24459886588	-4617.47539119772	-4613.05255803807	4.42283315965142	4.19204082780834
0	2	4	9021	1002	-4.66287414101818	-4.62919148673811	-4.62465923615196	-4.61980749904159	0.00485173711037223	0.00938398769651627	-4672.19988930021	-4638.44986971158	-4633.90855462427	-4629.04711403967	4.86144058459377	9.40275567190929
0	2	5	9020	1003	-4.68724920810348	-4.64075109552004	-4.6467884524589	-4.63185642077649	0.0149320316824033	0.00889467474354522	-4701.31095572779	-4654.6733488066	-4660.72881781627	-4645.75199003882	14.9768277774501	8.92135876777593
0	2	6	9021	1002	-4.63890251008141	-4.59278536640134	-4.5988859085332	-4.58443070917091	0.0144551993622954	0.00835465723042805	-4648.18031510157	-4601.97093713414	-4608.08368035027	-4593.59957058925	14.4841097610197	8.37136654488859
0	2	7	9021	1002	-4.6344814523759	-4.59226453006602	-4.60440616751041	-4.58653681133499	0.0178693561754208	0.00572771873103139	-4643.75041528065	-4601.44905912616	-4613.61497984543	-4595.70988495766	17.9050948877702	5.73917416849235
0	2	8	9021	1002	-4.68009117999612	-4.62919769987183	-4.64022667402082	-4.62207279534604	0.0181538786747835	0.0071249045257975	-4689.45136235612	-4638.45609527158	-4649.50712736886	-4631.31694093673	18.1901864321335	7.13915433484908
0	2	9	9021	1002	-4.61422589847553	-4.58549892159421	-4.59746784240603	-4.58616079011577	0.0113070522902561	-0.00066186852156136	-4623.45435027248	-4594.6699194374	-4606.66277809084	-4595.333111696	11.3296663948358	-0.663192258604795
0	2	10	9020	1003	-4.59685640884669	-4.55402395209877	-4.57040316995525	-4.55074254321874	0.0196606267365134	0.0032814088800297	-4610.64697807323	-4567.68602395507	-4584.11437946512	-4564.3947708484	19.7196086167223	3.2912531066695
0	3	1	9020	1003	-4.67496332935886	-4.62546361943543	-4.64548167832793	-4.6225596186798	0.022922059648125	0.0029040007556258	-4688.98821934694	-4639.34001029373	-4659.41812336291	-4636.42729753584	22.9908258270698	2.91271275789222
0	3	2	9021	1002	-4.65441373779026	-4.61942293354224	-4.61639673380473	-4.60650265671885	0.00989407708587908	0.0129202768233858	-4663.72256526584	-4628.66177940932	-4625.62952727234	-4615.71566203229	9.91386524005065	12.9461173770324
