ngram_context	context_limited_context	fold	n_train	n_test	ll_m0_mean	ll_m0_a_mean	ll_m0_b_mean	ll_joint_mean	delta_a_given_b_mean	delta_b_given_a_mean	ll_m0_sum	ll_m0_a_sum	ll_m0_b_sum	ll_joint_sum	delta_a_given_b_sum	delta_b_given_a_sum
0	1	1	9020	1003	-4.67496332935886	-4.62546361943543	-4.62651534409605	-4.6205734464978	0.00594189759824726	0.00489017293762561	-4688.98821934694	-4639.34001029373	-4640.39489012834	-4634.43516683729	5.95972329104188	4.90484345643836
0	1	2	9021	1002	-4.65441373779026	-4.61942293354224	-4.61914251129194	-4.61416478262812	0.00497772866382462	0.00525815091412429	-4663.72256526584	-4628.66177940932	-4628.38079631452	-4623.39311219337	4.9876841211526	5.26866721595252
0	1	3	9021	1002	-4.62908296241621	-4.60802854178231	-4.61014240705739	-4.60707110185982	0.0030713051975706	0.000957439922498082	-4638.34112834104	-4617.24459886588	-4619.3626918715	-4616.28524406354	3.07744780796656	0.959354802343114
0	1	4	9021	1002	-4.66287414101818	-4.62919148673811	-4.62664247373605	-4.62490727597581	0.00173519776024467	0.00428421076229846	-4672.19988930021	-4638.44986971158	-4635.89575868353	-4634.15709052776	1.73866815576457	4.29277918382286
0	1	5	9020	1003	-4.68724920810348	-4.64075109552004	-4.64158258054203	-4.63623747697594	0.00534510356608919	0.00451361854410059	-4701.31095572779	-4654.6733488066	-4655.50732828365	-4650.14618940687	5.36113887678766	4.52715939973314
0	1	6	9021	1002	-4.63890251008141	-4.59278536640134	-4.59859373065784	-4.59039102027976	0.00820271037808329	0.00239434612157829	-4648.18031510157	-4601.97093713414	-4607.79091811916	-4599.57180232032	8.21911579883908	2.39913481382064
0	1	7	9021	1002	-4.6344814523759	-4.59226453006602	-4.60176327990659	-4.59121378463172	0.010549495274871	0.00105074543430561	-4643.75041528065	-4601.44905912616	-4610.9668064664	-4600.39621220098	10.5705942654213	1.05284692517398
0	1	8	9021	1002	-4.68009117999612	-4.62919769987183	-4.63170375546904	-4.62479272457602	0.00691103089302292	0.00440497529581751	-4689.45136235612	-4638.45609527158	-4640.96716297998	-4634.04231002517	6.92485295480856	4.41378524640913
0	1	9	9021	1002	-4.61422589847553	-4.58549892159421	-4.59670886980527	-4.58847463477891	0.00823423502635912	-0.00297571318469991	-4623.45435027248	-4594.6699194374	-4605.90228754488	-4597.65158404847	8.25070349641283	-2.98166461106848
0	1	10	9020	1003	-4.59685640884669	-4.55402395209877	-4.55887331381315	-4.55134139687514	0.00753191693800304	0.00268255522362804	-4610.64697807323	-4567.68602395507	-4572.54993375459	-4564.99542106577	7.55451268881734	2.69060288929904
0	2	1	9020	1003	-4.67496332935886	-4.62546361943543	-4.64016390679602	-4.6215999356199	0.0185639711761256	0.0038636838155286	-4688.98821934694	-4639.34001029373	-4654.08439851641	-4635.46473542676	18.6196630896538	3.87527486697491
0	2	2	9021	1002	-4.65441373779026	-4.61942293354224	-4.61931942462395	-4.60966705596607	0.00965236865788377	0.00975587757617191	-4663.72256526584	-4628.66177940932	-4628.5580634732	-4618.886390078	9.67167339519983	9.77538933132382
0	2	3	9021	1002	-4.62908296241621	-4.60802854178231	-4.60825887203991	-4.60384486778963	0.0044140042502816	0.0041836739926886	-4638.34112834104	-4617.24459886588	-4617.47538978399	-4613.0525575252	4.42283225878236	4.19204134067331
0	2	4	9021	1002	-4.66287414101818	-4.62919148673811	-4.62465923604926	-4.61980749879844	0.00485173725082078	0.00938398793966577	-4672.19988930021	-4638.44986971158	-4633.90855452136	-4629.04711379604	4.86144072532261	9.40275591554473
0	2	5	9020	1003	-4.68724920810348	-4.64075109552004	-4.64678845064538	-4.6318564198531	0.0149320307922798	0.00889467566694258	-4701.31095572779	-4654.6733488066	-4660.72881599731	-4645.75198911265	14.9768268846565	8.92135969394349
0	2	6	9021	1002	-4.63890251008141	-4.59278536640134	-4.59888590716242	-4.58443070827772	0.0144551988846908	0.00835465812361225	-4648.18031510157	-4601.97093713414	-4608.08367897674	-4593.59956969428	14.4841092824599	8.37136743985957
0	2	7	9021	1002	-4.6344814523759	-4.59226453006602	-4.60440616686455	-4.58653681130811	0.0178693555564395	0.005727718757913	-4643.75041528065	-4601.44905912616	-4613.61497919828	-4595.70988493073	17.9050942675522	5.73917419542795
0	2	8	9021	1002	-4.68009117999612	-4.62919769987183	-4.64022667238704	-4.62207279468049	0.0181538777065473	0.0071249051913389	-4689.45136235612	-4638.45609527158	-4649.50712573182	-4631.31694026986	18.19018546196	7.13915500172152
0	2	9	9021	1002	-4.61422589847553	-4.58549892159421	-4.59746784175749	-4.58616078953494	0.0113070522225502	-0.000661867940727312	-4623.45435027248	-4594.6699194374	-4606.662777441	-4595.33311111401	11.3296663269948	-0.663191676609131
0	2	10	9020	1003	-4.59685640884669	-4.55402395209877	-4.57040316933797	-4.55074254316594	0.0196606261720342	0.00328140893283102	-4610.64697807323	-4567.68602395507	-4584.11437884599	-4564.39477079544	19.7196080505501	3.29125315962938
0	4	1	9020	1003	-4.67496332935886	-4.62546361943543	-4.64504865995675	-4.62087253170212	0.0241761282546289	0.00459108773330374	-4688.98821934694	-4639.34001029373	-4658.98380593662	-4634.73514929723	24.2486566393927	4.6048609965037
0	4	2	9021	1002	-4.65441373779026	-4.61942293354224	-4.61513623363385	-4.60424868337487	0.0108875502589738	0.0151742501673686	-4663.72256526584	-4628.66177940932	-4624.36650610111	-4613.45718074162	10.909325359492	15.2045986677031
0	4	3	9021	1002	-4.62908296241621	-4.60802854178231	-4.60507811045472	-4.59965441498758	0.00542369546713672	0.00837412679473548	-4638.34112834104	-4617.24459886588	-4614.28826667562	-4608.85372381755	5.43454285807093	8.39087504832514
0	4	4	9021	1002	-4.66287414101818	-4.62919148673811	-4.62390361389511	-4.61612302737973	0.00778058651537616	0.013068459358375	-4672.19988930021	-4638.44986971158	-4633.1514211229	-4625.35527343449	7.79614768840747	13.094596277092
0	4	5	9020	1003	-4.68724920810348	-4.64075109552004	-4.64747853989397	-4.62987441585237	0.0176041240416005	0.0108766796676694	-4701.31095572779	-4654.6733488066	-4661.42097551365	-4643.76403909992	17.6569364137258	10.9093097066734
0	4	6	9021	1002	-4.63890251008141	-4.59278536640134	-4.61015217742329	-4.58748695442741	0.0226652229958804	0.00529841197392855	-4648.18031510157	-4601.97093713414	-4619.37248177814	-4596.66192833626	22.7105534418724	5.30900879787623
0	4	7	9021	1002	-4.6344814523759	-4.59226453006602	-4.6067445224814	-4.58567702295229	0.0210674995291065	0.00658750711373024	-4643.75041528065	-4601.44905912616	-4615.95801152636	-4594.8483769982	21.1096345281649	6.60068212795795
0	4	8	9021	1002	-4.68009117999612	-4.62919769987183	-4.64838537902456	-4.62394271514513	0.0244426638794284	0.00525498472670627	-4689.45136235612	-4638.45609527158	-4657.6821497826	-4633.19060057542	24.4915492071868	5.26549469615929
0	4	9	9021	1002	-4.61422589847553	-4.58549892159421	-4.60313346138699	-4.58654384697117	0.0165896144158175	-0.00104492537696377	-4623.45435027248	-4594.6699194374	-4612.33972830976	-4595.71693466511	16.6227936446494	-1.04701522771757
0	4	10	9020	1003	-4.59685640884669	-4.55402395209877	-4.56781046956944	-4.54657363437717	0.0212368351922763	0.00745031772160321	-4610.64697807323	-4567.68602395507	-4581.51390097815	-4560.2133552803	21.3005456978535	7.47266867476901
1	1	1	9020	1003	-4.67496332935886	-4.64537263633768	-4.62651534409605	-4.62966094798675	-0.00314560389070095	0.0157116883509349	-4688.98821934694	-4659.3087542467	-4640.39489012834	-4643.54993083071	-3.1550407023733	15.7588234159884
1	1	2	9021	1002	-4.65441373779026	-4.62644935346755	-4.61914251129194	-4.61804506120069	0.00109745009125017	0.0084042922668619	-4663.72256526584	-4635.70225217449	-4628.38079631452	-4627.28115132309	1.0996449914328	8.42110085139484
1	1	3	9021	1002	-4.62908296241621	-4.61106301138636	-4.61014240705739	-4.60919657650159	0.000945830555799887	0.00186643488477678	-4638.34112834104	-4620.28513740914	-4619.3626918715	-4618.41496965459	0.947722216911643	1.87016775454686
1	1	4	9021	1002	-4.66287414101818	-4.63548476347464	-4.62664247373605	-4.62467828627786	0.00196418745819305	0.0108064771967813	-4672.19988930021	-4644.75573300159	-4635.89575868353	-4633.92764285042	1.96811583310864	10.8280901511744
1	1	5	9020	1003	-4.68724920810348	-4.65452885208089	-4.64158258054203	-4.6414547858275	0.000127794714528839	0.013074066253397	-4701.31095572779	-4668.49243863714	-4655.50732828365	-4655.37915018498	0.128178098672834	13.1132884521576
1	1	6	9021	1002	-4.63890251008141	-4.61306908591015	-4.59859373065784	-4.59868716856411	-9.34379062647039e-05	0.0143819173460393	-4648.18031510157	-4622.29522408197	-4607.79091811916	-4607.88454290123	-0.0936247820764038	14.4106811807314
1	1	7	9021	1002	-4.6344814523759	-4.60908421642023	-4.60176327990659	-4.60055300901085	0.00121027089574	0.00853120740937996	-4643.75041528065	-4618.30238485307	-4610.9668064664	-4609.75411502887	1.21269143753216	8.54826982419945
1	1	8	9021	1002	-4.68009117999612	-4.63505860580242	-4.63170375546904	-4.6309570070774	0.000746748391634355	0.00410159872501392	-4689.45136235612	-4644.32872301402	-4640.96716297998	-4640.21892109156	0.748241888417397	4.10980192246461
1	1	9	9021	1002	-4.61422589847553	-4.59949685767154	-4.59670886980527	-4.59587922956654	0.000829640238728224	0.00361762810500199	-4623.45435027248	-4608.69585138688	-4605.90228754488	-4605.07098802567	0.831299519205459	3.62486336121128
1	1	10	9020	1003	-4.59685640884669	-4.57095111471922	-4.55887331381315	-4.55953669250203	-0.000663378688886773	0.0114144222171921	-4610.64697807323	-4584.66396806338	-4572.54993375459	-4573.21530257954	-0.665368824953475	11.4486654838438
