comparison	predictor_family	predictor_context	ngram_context	context_limited_context	layer	folds	delta_predictor_given_layer_mean	delta_predictor_given_layer_se	delta_layer_given_predictor_mean	delta_layer_given_predictor_se	delta_n_given_l_mean	delta_n_given_l_se	delta_l_given_n_mean	delta_l_given_n_se	delta_c_given_l_mean	delta_c_given_l_se	delta_l_given_c_mean	delta_l_given_c_se
context_limited_vs_internal_layer	context_limited	1	NA	1	1	10	0.0123312905590975	0.0108587265942825	-0.00704197539769007	0.00915549766818511	NA	NA	NA	NA	0.0123312905590975	0.0108587265942825	-0.00704197539769007	0.00915549766818511
context_limited_vs_internal_layer	context_limited	1	NA	1	2	10	0.0115759171567366	0.00945816645462627	-0.0107926689977099	0.00844543896132997	NA	NA	NA	NA	0.0115759171567366	0.00945816645462627	-0.0107926689977099	0.00844543896132997
context_limited_vs_internal_layer	context_limited	1	NA	1	3	10	0.0116855979704288	0.0072979710218175	-0.00537984879746647	0.0086628139474046	NA	NA	NA	NA	0.0116855979704288	0.0072979710218175	-0.00537984879746647	0.0086628139474046
context_limited_vs_internal_layer	context_limited	1	NA	1	4	10	0.0102649422105953	0.00621439771030396	-0.00103476002584202	0.00681868021193635	NA	NA	NA	NA	0.0102649422105953	0.00621439771030396	-0.00103476002584202	0.00681868021193635
context_limited_vs_internal_layer	context_limited	1	NA	1	5	10	0.0117425454405151	0.00823614630215077	0.00184797439324234	0.00633925855595976	NA	NA	NA	NA	0.0117425454405151	0.00823614630215077	0.00184797439324234	0.00633925855595976
context_limited_vs_internal_layer	context_limited	1	NA	1	6	10	0.0146820213305911	0.00803128659539342	0.00254046862090576	0.00499242907852052	NA	NA	NA	NA	0.0146820213305911	0.00803128659539342	0.00254046862090576	0.00499242907852052
context_limited_vs_internal_layer	context_limited	1	NA	1	7	10	0.015137956664561	0.00885046305240616	0.0152899683042539	0.00595463270831807	NA	NA	NA	NA	0.015137956664561	0.00885046305240616	0.0152899683042539	0.00595463270831807
context_limited_vs_internal_layer	context_limited	1	NA	1	8	10	0.0149832346496199	0.0104695119217834	0.0237080372769045	0.00887603784859487	NA	NA	NA	NA	0.0149832346496199	0.0104695119217834	0.0237080372769045	0.00887603784859487
context_limited_vs_internal_layer	context_limited	1	NA	1	9	10	0.0198076058643252	0.0110966201490879	0.0269126237285273	0.0123098374516881	NA	NA	NA	NA	0.0198076058643252	0.0110966201490879	0.0269126237285273	0.0123098374516881
context_limited_vs_internal_layer	context_limited	1	NA	1	10	10	0.027798505059365	0.0141210347852911	0.0421831750718011	0.0137574605331998	NA	NA	NA	NA	0.027798505059365	0.0141210347852911	0.0421831750718011	0.0137574605331998
context_limited_vs_internal_layer	context_limited	1	NA	1	11	10	0.0310808107813862	0.0158526798119307	0.0697001298085809	0.0146021968598001	NA	NA	NA	NA	0.0310808107813862	0.0158526798119307	0.0697001298085809	0.0146021968598001
context_limited_vs_internal_layer	context_limited	1	NA	1	12	10	0.0213204719078981	0.0116250478642785	0.0581769403106198	0.0147731869361298	NA	NA	NA	NA	0.0213204719078981	0.0116250478642785	0.0581769403106198	0.0147731869361298
context_limited_vs_internal_layer	context_limited	2	NA	2	1	10	0.00568731185593636	0.0134981049926641	0.000218127529520018	0.0150512246210693	NA	NA	NA	NA	0.00568731185593636	0.0134981049926641	0.000218127529520018	0.0150512246210693
context_limited_vs_internal_layer	context_limited	2	NA	2	2	10	0.0072760166438103	0.0157889712385717	-0.00118848788026495	0.0155572262223384	NA	NA	NA	NA	0.0072760166438103	0.0157889712385717	-0.00118848788026495	0.0155572262223384
context_limited_vs_internal_layer	context_limited	2	NA	2	3	10	0.00435544387534108	0.0141071382895619	0.00119407873781707	0.0130768388329876	NA	NA	NA	NA	0.00435544387534108	0.0141071382895619	0.00119407873781707	0.0130768388329876
context_limited_vs_internal_layer	context_limited	2	NA	2	4	10	-0.000468615744329615	0.0124130756901317	0.00213576364960426	0.00998685866046082	NA	NA	NA	NA	-0.000468615744329615	0.0124130756901317	0.00213576364960426	0.00998685866046082
context_limited_vs_internal_layer	context_limited	2	NA	2	5	10	-0.000798343167702598	0.0102709819001476	0.00321116741539589	0.0048409546061297	NA	NA	NA	NA	-0.000798343167702598	0.0102709819001476	0.00321116741539589	0.0048409546061297
context_limited_vs_internal_layer	context_limited	2	NA	2	6	10	0.00116768962071152	0.00927100780508245	0.00293021854139743	0.00381713746776064	NA	NA	NA	NA	0.00116768962071152	0.00927100780508245	0.00293021854139743	0.00381713746776064
context_limited_vs_internal_layer	context_limited	2	NA	2	7	10	-0.00220198490233798	0.00697548146826099	0.0118541083677261	0.00463164260576396	NA	NA	NA	NA	-0.00220198490233798	0.00697548146826099	0.0118541083677261	0.00463164260576396
context_limited_vs_internal_layer	context_limited	2	NA	2	8	10	-0.00468787735401861	0.0067572915614555	0.0179410069036372	0.0058640511619836	NA	NA	NA	NA	-0.00468787735401861	0.0067572915614555	0.0179410069036372	0.0058640511619836
context_limited_vs_internal_layer	context_limited	2	NA	2	9	10	-0.00389837603331147	0.0082138102958947	0.0171107234612619	0.0063471832946978	NA	NA	NA	NA	-0.00389837603331147	0.0082138102958947	0.0171107234612619	0.0063471832946978
context_limited_vs_internal_layer	context_limited	2	NA	2	10	10	-0.00331823014867698	0.00928262821930536	0.0249705214941304	0.00913387480066339	NA	NA	NA	NA	-0.00331823014867698	0.00928262821930536	0.0249705214941304	0.00913387480066339
context_limited_vs_internal_layer	context_limited	2	NA	2	11	10	-0.0048965103335922	0.009721829222681	0.0476268903239736	0.00835157042985398	NA	NA	NA	NA	-0.0048965103335922	0.009721829222681	0.0476268903239736	0.00835157042985398
context_limited_vs_internal_layer	context_limited	2	NA	2	12	10	-0.0102027516962255	0.00815130148202287	0.0405577983368674	0.0147569257744853	NA	NA	NA	NA	-0.0102027516962255	0.00815130148202287	0.0405577983368674	0.0147569257744853
context_limited_vs_internal_layer	context_limited	3	NA	3	1	10	0.00415437026983891	0.0100603591529733	0.00384912874245069	0.0149493713741222	NA	NA	NA	NA	0.00415437026983891	0.0100603591529733	0.00384912874245069	0.0149493713741222
context_limited_vs_internal_layer	context_limited	3	NA	3	2	10	0.00505236601188264	0.012157247374167	0.0017518042868355	0.0160836860117837	NA	NA	NA	NA	0.00505236601188264	0.012157247374167	0.0017518042868355	0.0160836860117837
context_limited_vs_internal_layer	context_limited	3	NA	3	3	10	0.00314125214112524	0.0109437803865255	0.00514382980262935	0.0135010500050022	NA	NA	NA	NA	0.00314125214112524	0.0109437803865255	0.00514382980262935	0.0135010500050022
context_limited_vs_internal_layer	context_limited	3	NA	3	4	10	-0.00216801540281759	0.00892182909442508	0.0056003067901444	0.0101428400836965	NA	NA	NA	NA	-0.00216801540281759	0.00892182909442508	0.0056003067901444	0.0101428400836965
context_limited_vs_internal_layer	context_limited	3	NA	3	5	10	-0.00339498120207562	0.0082523002619528	0.00577847218005099	0.00523452541882737	NA	NA	NA	NA	-0.00339498120207562	0.0082523002619528	0.00577847218005099	0.00523452541882737
context_limited_vs_internal_layer	context_limited	3	NA	3	6	10	-0.00160875478295237	0.00790929564861865	0.00531771693676166	0.00454343552686789	NA	NA	NA	NA	-0.00160875478295237	0.00790929564861865	0.00531771693676166	0.00454343552686789
context_limited_vs_internal_layer	context_limited	3	NA	3	7	10	-0.00450236135134512	0.00684404511466337	0.0147176747177471	0.00528727406488763	NA	NA	NA	NA	-0.00450236135134512	0.00684404511466337	0.0147176747177471	0.00528727406488763
context_limited_vs_internal_layer	context_limited	3	NA	3	8	10	-0.00697121732760664	0.00721580288367685	0.0208216097290773	0.0058559074247283	NA	NA	NA	NA	-0.00697121732760664	0.00721580288367685	0.0208216097290773	0.0058559074247283
context_limited_vs_internal_layer	context_limited	3	NA	3	9	10	-0.00663104896192745	0.00942988652685598	0.0195419933316741	0.00698545583445008	NA	NA	NA	NA	-0.00663104896192745	0.00942988652685598	0.0195419933316741	0.00698545583445008
context_limited_vs_internal_layer	context_limited	3	NA	3	10	10	-0.00615419673407871	0.0107240317277202	0.0272984977077567	0.00980444898490045	NA	NA	NA	NA	-0.00615419673407871	0.0107240317277202	0.0272984977077567	0.00980444898490045
context_limited_vs_internal_layer	context_limited	3	NA	3	11	10	-0.00719210482475336	0.00954699695731392	0.0504952386318406	0.00934377412797413	NA	NA	NA	NA	-0.00719210482475336	0.00954699695731392	0.0504952386318406	0.00934377412797413
context_limited_vs_internal_layer	context_limited	3	NA	3	12	10	-0.0127233032851875	0.00806304704383867	0.0432011895469334	0.0149827399177464	NA	NA	NA	NA	-0.0127233032851875	0.00806304704383867	0.0432011895469334	0.0149827399177464
context_limited_vs_internal_layer	context_limited	4	NA	4	1	10	0.00729928317015318	0.0100825332202787	0.0049125769594542	0.0158794304947749	NA	NA	NA	NA	0.00729928317015318	0.0100825332202787	0.0049125769594542	0.0158794304947749
context_limited_vs_internal_layer	context_limited	4	NA	4	2	10	0.00957202774511092	0.0128435403648025	0.00419000133675302	0.0168419502860309	NA	NA	NA	NA	0.00957202774511092	0.0128435403648025	0.00419000133675302	0.0168419502860309
context_limited_vs_internal_layer	context_limited	4	NA	4	3	10	0.00782660529706485	0.0114706514761858	0.0077477182752582	0.0141023107239559	NA	NA	NA	NA	0.00782660529706485	0.0114706514761858	0.0077477182752582	0.0141023107239559
context_limited_vs_internal_layer	context_limited	4	NA	4	4	10	0.00261893728192364	0.00941156262309298	0.00830579479157487	0.0105098844392309	NA	NA	NA	NA	0.00261893728192364	0.00941156262309298	0.00830579479157487	0.0105098844392309
context_limited_vs_internal_layer	context_limited	4	NA	4	5	10	-0.000676941919142315	0.00805441420997636	0.00641504677967353	0.00600070946912887	NA	NA	NA	NA	-0.000676941919142315	0.00805441420997636	0.00641504677967353	0.00600070946912887
context_limited_vs_internal_layer	context_limited	4	NA	4	6	10	0.000839037852368563	0.0070843127479126	0.00568404488877183	0.0053098567341261	NA	NA	NA	NA	0.000839037852368563	0.0070843127479126	0.00568404488877183	0.0053098567341261
context_limited_vs_internal_layer	context_limited	4	NA	4	7	10	-0.00316606913251949	0.00485734192199189	0.013972502253262	0.00588861918541813	NA	NA	NA	NA	-0.00316606913251949	0.00485734192199189	0.013972502253262	0.00588861918541813
context_limited_vs_internal_layer	context_limited	4	NA	4	8	10	-0.00600602816094522	0.00340297073797454	0.0197053342124279	0.00641926770719081	NA	NA	NA	NA	-0.00600602816094522	0.00340297073797454	0.0197053342124279	0.00641926770719081
context_limited_vs_internal_layer	context_limited	4	NA	4	9	10	-0.00664759178342251	0.00499434079175986	0.0174439858268682	0.00692094207129199	NA	NA	NA	NA	-0.00664759178342251	0.00499434079175986	0.0174439858268682	0.00692094207129199
context_limited_vs_internal_layer	context_limited	4	NA	4	10	10	-0.00656557537462854	0.00693824520003861	0.0248056543838961	0.00871156911683644	NA	NA	NA	NA	-0.00656557537462854	0.00693824520003861	0.0248056543838961	0.00871156911683644
